order_date,product_id,rank,quantity
2025-12-06,1d0346ad-9e15-4df7-aaaf-8f54706c866f,S,8
2025-12-06,2a95e1a0-db55-4f3d-8935-177ab5bb4366,S,9
2025-12-06,3188b449-f8ee-47d6-89f7-aa2c94b96b47,S,1
2025-12-06,39358caa-0199-4459-890b-99431b09be1c,S,5
2025-12-06,4af3b8d5-8639-40ae-9e36-cc6e9a21c37a,S,6
2025-12-06,952b8aca-7e7b-44da-a315-c60b33f8053f,S,1
2025-12-06,9a07f39f-78d1-4749-8d83-54bf12221757,S,4
2025-12-06,d66107a1-05c3-4d4b-bd77-122912b59058,S,8
2025-12-06,de1282d0-0a7a-499b-b2e9-4060e8a98046,S,1
2025-12-06,e4fa9fcc-4414-4750-ba87-11e1eb83d3ee,S,5
2025-12-07,04e54b66-aaae-4cce-8ff5-e6184d5103c7,S,3
2025-12-07,14fb3677-349a-479f-9051-0b7b3038df64,S,1
2025-12-07,160a85a2-669a-4763-9931-2ca7f833c744,A,1
2025-12-07,1d0346ad-9e15-4df7-aaaf-8f54706c866f,A,5
2025-12-07,1d0346ad-9e15-4df7-aaaf-8f54706c866f,B,1
2025-12-07,1f552c97-2207-4712-b194-d56dd6b4a181,A,9
2025-12-07,1f552c97-2207-4712-b194-d56dd6b4a181,S,7
2025-12-07,23af4676-e739-4acb-a30d-af68112a0938,A,2
2025-12-07,2a95e1a0-db55-4f3d-8935-177ab5bb4366,A,2
2025-12-07,2a95e1a0-db55-4f3d-8935-177ab5bb4366,S,2
2025-12-07,2f3992ea-9b18-4ec9-b06b-3c3fc9e7c3df,B,2
2025-12-07,39358caa-0199-4459-890b-99431b09be1c,A,3
2025-12-07,4485d71a-b3ea-413f-87ea-ca2d4dbdcdc8,S,1
2025-12-07,49356655-b771-4e28-b690-32c83144feb5,A,2
2025-12-07,4af3b8d5-8639-40ae-9e36-cc6e9a21c37a,A,2
2025-12-07,4af3b8d5-8639-40ae-9e36-cc6e9a21c37a,S,6
2025-12-07,4f570788-db73-4de9-ac28-da173c5c347c,A,1
2025-12-07,555f01de-dc41-461a-b4f0-ce3221019b0d,A,2
2025-12-07,555f01de-dc41-461a-b4f0-ce3221019b0d,S,2
2025-12-07,55f1ada7-0e4f-46c7-9263-d9e37a9a1954,A,1
2025-12-07,5a16779a-a945-4f0d-88d4-221f425974c4,A,1
2025-12-07,6721f188-4f0b-48b8-8ab3-ee3823c7f96a,A,1
2025-12-07,824ac833-2760-4789-8292-a19bbdf0e8d5,A,2
2025-12-07,97f7971f-48b1-42f3-af6b-62288cd92732,S,1
2025-12-07,9a07f39f-78d1-4749-8d83-54bf12221757,A,7
2025-12-07,9a07f39f-78d1-4749-8d83-54bf12221757,S,2
2025-12-07,a19cc549-1d8d-4751-8275-3e32647e1c5e,A,1
2025-12-07,aac16750-5341-4dfb-8550-cff43ce6ac22,S,1
2025-12-07,b74b2edb-9428-4f76-9a43-c601878db9b1,B,1
2025-12-07,bf14ec41-9ed3-48d0-83c8-3fe1442d9d69,B,1
2025-12-07,c2c46413-660f-46f2-bc1d-6b2707a3bcce,A,1
2025-12-07,c9f0f04b-279e-493c-a621-aac4e1742647,A,1
2025-12-07,cad22e8b-e8fc-4f7d-9dc0-c6e2dbff23d2,A,2
2025-12-07,d1dfcea3-00f5-436c-aad4-e488051f50c3,A,1
2025-12-07,d66107a1-05c3-4d4b-bd77-122912b59058,A,4
2025-12-07,d66107a1-05c3-4d4b-bd77-122912b59058,S,8
2025-12-07,da9f76af-6d9d-4198-9cd7-cdef4681a812,A,3
2025-12-07,de1282d0-0a7a-499b-b2e9-4060e8a98046,A,1
2025-12-07,e4205724-8537-42a0-aa0f-9770cd3ba3bb,S,1
2025-12-07,f79cbd86-39ce-4b9c-8671-3c0f46e72d4f,A,1
2025-12-07,f7da2644-f8fb-4f9a-8929-35e9674c92eb,S,1
2025-12-07,facb9303-c59a-4615-a165-0b6130380f0e,A,2
2025-12-07,fb9c1132-329c-492f-8b57-6986e4530e36,B,1
